我的,my
爱上（某人或某物）,fall in love with
单独地；孤独地,alone
宠物,pet
鹦鹉,parrot
大楷；或许,probably
去滑冰,go skating
一套衣服,suit
能；能够,able
有能力做某事；会做某事,be able to
穿衣服,dress
非正式；随意地,casually
哪个；哪几个,which
甚至,even
世界杯,the World Cup
write的过去式,wrote
我自己,myself
面谈，面试,interview
预言；预测（V.),predict
预言；预测(N.),prediction
come的过去式,came
达到；实现,come true
声音,sound
公司,company
think的过去式,thought
策略；战略,strategy
小说,fiction
使人不愉快的,unpleasant
科学家,scientist
未来；将来,in the future
大量；许多,hundreds of
早已；已经,already
动词make的过去式,made
工厂,factory
简单的；容易的,simple
这样的,such
厌倦的；厌烦的,bored
各地,everywhere
人；人类,human
巨大的,huge
形状；外形,shape
地震,earthquake
蛇,snake
可能的,possible
电的；导电的,electric
牙刷,toothbrush
像是；似乎,seem
不可能的,impossible
家务；家务事,housework
等级；级别,rating
不让……进入,keep out
播放,play
争论；争吵,argue
错误的；有毛病的,wrong
怎么了？,What's wrong？
风格；款式；式样,style
不时髦的；过时的,out of style
可以；应该；可能,could
打电话给,call sb. up
票；入场卷,ticket
使惊奇；使意外,surprise
用电话交谈；在通话,on the phone
怎么了？,what's the matter？
付账；支付,pay for
兼职工作,part-time job
好的,okay
同样地；也（不）,either
烤；烘,bake
面包或糕饼的售卖活动,bake sale
青少年论坛,teen talk
家庭教师,tutor
新颖的,original
与……同样的,the same as
时髦的；流行的,in style
理发；发型,haircut
除；把……除外,except
心烦的；沮丧的,upset
失败,fail
相处；进展,get on
didn't,did not
couldn't,could not
归还；送回,return
足球,football
倒…为止,until
适合；适应,fit
找到时间（做某事）,fit …into
尽可能……,as……as possible
压力,pressure
抱怨；埋怨；发牢骚,complain
包括；包含,include
固执己见的；一意孤行的,pushy
推；推动；督促,push
派遣；打发；安排去,send
各种各样的,all kinds of
比较,compare
疯狂的；狂热的,crazy
他们自己,themselves
成年人,adult
（在）一方面,on the one hand
有组织的,organized
（在）另一方面,on the other hand
自由,freedom
不明飞行物；飞碟,UFO
理发师,barber
理发店,barber shop
浴室；盥洗室,bathroom
卧室；寝室,bedroom
厨房,kitchen
出去；离开,get out
外星人,alien
动词buy的过去式,bought
着陆,land
get的过去式,got
起飞,take off
当……的时候,while
经历；体验,experience
想象；设想,imagine
奇怪的；陌生的,strange
跟随；追随,follow
令人惊异的,amazing
开玩笑；戏弄；欺骗,kid
恐惧的,scared
攀登；爬,climb
跳跃,jump
呼喊；呼叫,shout
ride的过去式,rode
火车站,train station
动词run的过去式,ran
跑掉；逃跑,run away
任何地方,anywhere
动词meet的过去式,met
进来,come in
发生,happen
事故,accident
北京国际机场,Beijing International Airport
飞机,plane
动词hear的过去式,heard
现代的；现代化的,modern
杀死；致死,kill
谋杀；凶杀,murder
孟菲斯（美国一城市）,Memphis
听说,hear about
明亮的；发亮的,bright
操场,playground
钟；铃；门铃,bell
ring的过去式,rang
tell的过去式,told
关闭,close
寂静；沉默,silence
发生,take place
近来的；最近的,recent
世贸中心,World Trade Centre
破坏；毁灭,destroy
恐怖分子,terrorist
意思；含义,meaning
和……一样,as ……as
become的过去式,became
航班；班级,flight
地球,earth
英雄,hero
fly的过去式,flew
很生气的；气氛的,mad
再也（不）,anymore
直接引语,direct speech
间接引语,reported speech
首先,first of all
消息；信息,message
传递,pass on
假定；认定；期望,suppose
被期望或被要求,be supposed to
勤勉的；努力工作的,hard-working
在…方面做得好,do well in
身体健康,in good health
成绩单,report card
神经紧张的；不安的,nervous
信封,envelope
学期,semester
真实的,ture
令人失望的;令人扫兴的,disappointing
幸运的,lucky
复制；抄袭,copy
自己的,own
克服；恢复；原谅,get over
贫穷的；可怜的,poor
村庄；乡村,village
北京大学,Peking University
毕业生,graduate
志愿者,volunteer
教育部,the Ministry of Education
中国少年先锋队,Chinese Young Pioneer
乡下的；乡村的,rural
地区；区域,area
米；公尺,meter
海平面,sea level
稀薄的,thin
eat的过去式,ate
幸运地,fortunately
决定；决心,decision
丈夫,husband
宿舍,dormitory
高中,senior high school
打开,open up
开始；开端,start
影响,influence
回来；返回,return
家乡；故乡,hometown
“绿色和平组织”,Greenpeace
照顾，照料,care for
边界；边境,border
联合国儿童基金会,UNICEF
世界野生动物基金会,WWF
危险,danger
玩的愉快,have a great time
组织,organize
拿走,take away
清扫；打扫,clean-up
花,flower
代理人,agent
在世界各地,around the world
谋生,make a living
反对；对……不利,against
慈善事业,charity
机会；机遇,chance
一直,all the time
受伤的,injured
真诚地,sincerely
律师,lawyer
今晚；今夜,tonight
移动电话,mobile phone
怎么了？,What's the problem？
肥胖的,fat
窗户,window
踢足球,play football
结果,consequence
解释；说明,explain
下列的；下述的,following
收集,collect
贝壳；壳,shell
马拉松赛跑,marathon
一对；一双,pair
溜冰鞋,skate
自从；自……以来,since
山顶学校,Hilltop School
筹集；募集,raise
几个的；数个的,several
溜冰者,skater
邮票,stamp
风筝,kite
怪物；妖怪,monster
球状物；球体,globe
任何人,anyone
用完；用尽,run out of
储存,store
蛋糕；糕；饼类食品,cake
特别；尤其；异乎寻常地,particularly
搜集者；收藏者,collector
顺便说一下；附带说说,by the way
共同的，公共的,common
额外的,extra
钱币；硬币,coin
话题；主题,topic
be的过去分词,been
对…感兴趣,be interested in
作家,writer
朝代；王朝,dynasty
人物；人名,character
省会；首都,captical
欧洲的,European
俄罗斯人,Russian
澳大利亚的,Australian
犹太人的,Jewish
犹太人,jew
一千,thousand
皇帝,emperor
外国人,foreigner
相当；十分,quite
确实的，无疑的,certain
奥林匹克运动会,the Olympic Games
在远处,far away
思念；想念,miss
一点儿也不,not at all
把……调低,turn down
院子,yard
立刻；马上,right away
任务；工作，作业,task
海报,poster
女服务生,waitress
动词bring的过去式,brought
解答；解决方法,solution
排，队，列,line
排队等待,wait in line
使恼怒；使生气,annoy
恼怒的；生气的,annoyed
有礼貌的；客气的,polite
或许；大楷,perhaps
门,door
插队,cut in line
hasn't,has not
术语,term
礼节,etiquette
普通的,normal
行为；举止；表现,behavior
首先,at first
亚洲的；亚洲人的,Asian
不舒服的,uncomfortable
无礼的，粗鲁的,impolite
允许，准许,allow
控制；抑制,keep……down
声音,voice
公众,public
当心，小心,take care
咳嗽,cough
打喷嚏,sneeze
打破，违背,break
违反规则,break the rule
有礼貌地,politely
抽烟，吸烟,smoke
扑灭；熄灭；关灯,put out
香烟；卷烟；纸烟,cigarette
批评；批判,criticize
小心的；谨慎的,careful
落下；掉下；使落下,drop
垃圾,litter
采；摘；挑选,pick
捡起,pick up
举止；表现,behave
评论；意见,comment
集子；相片簿,album
个人的；私人的,personal
特别的,special
收到；接受,receive
give的过去式,gave
家伙；人,guy
蜘蛛,spider
老鼠(复数）,mouse（mice）
蛇,snake
仓鼠,hamster
龟；海龟,turtle
孩子,child
大腹便便的，大肚子的,pot-bellied
猪,pig
有条件的；有点,advantage
不利条件；缺点,disadvantage
完美的；理想的,perfect
兔；野兔,rabbit
伙伴,company
价值；花（多少钱）,cost
睡着的,asleep
入睡,fall asleep
选择,choose
礼物,present
打开,open
稍后,later
give的过去分词,given
赠送；分发,give away
长櫈；长椅,bench
而不是,rather than
瑞典,Sweden
代替；而不是,instead
参加，进入,enter
几乎,nearly
动词sing的过去式,sang
清楚地；明显的,clearly
舞台,stage
本地的；本国的,native
以某种语言为母语的人,native speaker
胜利者,winner
谦虚的；谦逊的,modest
感兴趣的,interested
鼓励；激励,encourage
进步；进展,progress
取得进步；取得进展,make progress
听说,hear of
建议；提议,suggest
北京人,Beijinger
对…感兴趣,take an interest in
而且，除…之外,besides
与…交朋友,make friends with
声明；陈述,statement
提及；说起,mention
娱乐；消遣,amusement
两者都不（的）；也不,neither
迪斯尼乐园,Disneyland
米老鼠,Mickey Mouse
唐老鸭,Donald Duck
人物；角色,character
see的过去分词,seen
主题,theme
有吸引力的事物/人,attraction
过山车,roller coaster
巡游；巡航,cruise
甲板,board
在船上,on board
路线,route
以…结束，结果为,end up
岛；岛屿,island
特别；尤其,especially
交换生,exchange student
服务员,attentant
空中服务员,flight attentant
发觉；发现,discover
要求；必要条件,requirement
导游；向导,guide
导游,tour guide
电影,film
东南部,southeast
极好的,wonderful
假日；假期；节日,holiday
四分之一；一刻钟,quarter
四分之三,three quarters
人口,population
仅仅；只；简单的,simply
普通话,Putonghua
害怕；担心,fear
勇敢的,brave
卓越的,excellent
印度的；印度人的,Indian
夜间野生动物园,Night Safari
黄昏；黑暗,dark
白天；日间,daytime
醒来；唤醒,wake up
狐狸,fox
自然地；自然界的,natural
环境,environment
温度,temperature
一年到头；中年,all year round
赤道,equator
无论何时,whenever
春天,spring
秋天,autumn
季节,season
类型,type
醒着的,awake
富兰克林胡,Franklin Lake
中午,noon
含沙的；多沙的,sandy
再见,goodbye
浏览,look through
书店,bookstore
穿过；横过；越过,cross
电梯,elevator
低的,low
慢的；缓慢的,slow
迷；狂热者,fan
短信；笔记,note
（意外地）发生；出现；来到,come long
相处,get along
婴儿；小孩儿,baby
至少,at least
交通,traffic
little的最高级,least
复习；回顾,review
二胡,Erhu
字幕,subtitle
网页,web page
抽认卡,flashcard
词汇,vocabulary
大声地,aloud
发音；发音法,pronunciation
明确的；具体的,specific
记住；熟记,memorize
语法；语法规则,grammer
不同地；有区别地,differently
使失望；使沮丧；使厌烦,frustrate
快地；迅速地,quickly
补充；继续说,add
发……音；正确（或清晰地）吐（字；音等）,pronounce
口语的；口头的,spoken
慢地；缓慢地,slowly
错误；过失,mistake
犯错；出错,make mistakes
逗号,comma
挑战,challenge
（问题；疑难等的）解决；解答,solution
以后；随后,later on
认识到；了解到,realize
重要；要紧；有关系,matter
没关系,it doesn't matter
害怕的；犯愁的,afraid
害怕去做；不敢去做,be afraid to
嘲笑；取笑,laugh at
完整的；完全的,complete
秘诀；诀窍；秘密,secret
学习者,learner
做笔记；做记录,take notes
学期,term
使感动；使印象深刻,impress
困难；苦恼；忧虑,trouble
快地；迅速地,fast
查阅；查找,look up
软的；柔软的,soft
编造；组成；拼凑成,make up
文章（尤指短文；小品文；散文）,essay
处理；应付,deal
处理；应付,deal with
如果不；除非,unless
不公正的；不公平的,unfair
解决；解答,solve
将……视为,regard
责任；义务,duty
容易地；简单地,easily
影响；对……起作用,influence
生…的气；对……感到气愤,be angry with
过去；消逝,go by
友情；友谊；友爱,friendship
失去；丧失,lose
分歧；不一致；意见不合,disagreement
发育；成长；发展；进展,development
成年人,adult
尽力做……,try one's best
不重要的,unimportant
面临；面对；正视,face
军人；士兵,soldier
突然中止；中断,break off
心理学家；心理学研究者,psychologist
过去经常；以前常常,used to
飞机,airplane
使害怕；使恐惧,terrify
非常害怕；极度恐惧的,terrified
入睡,go to sleep
开着的；接通的；工作着地,on
昆虫,insect
糖果,candy
嚼；咀嚼,chew
口香糖,gum
聊天；闲谈,chat
每日的；日常的,daily
连环漫画；连环漫画杂志；连环漫画栏,comic
死；死亡,death
造成；使发生,cause
他自己；他本身（反身代词）,himself
有耐心的；忍耐的,patient
最后；终于,in the end
做决定；下决心,make a decision
校长,head teacher
让某人惊奇的是……,to one's surprise
正；恰恰,exactly
即使；纵然；尽管,even though
不再；已不,no longer
对……感到自豪,take pride in
注意；专心；留心,attention
对……注意；留心,pay attention to
放弃,give up
浪费；滥用,waste
刺穿；刺破,pierce
执照；许可证,license
愚蠢的；傻的,silly
耳环,earring
代替；而不是,instead of
不睡觉；熬夜,stay up
集中；聚集,concentrate
全神贯注；专心于,concentrate on
学习；研究,study
设计；构思,design
目前；现在,present
目前；现在,at present
机会；时机,opportunity
自愿（做某事);志愿者,volunteer
地方的；当地的,local
经历；体验,experience
会员；成员,member
混乱；脏乱,mess
养老院,old people's home
困倦的；不活跃的,sleepy
回答；答复,reply
时事通讯；简讯,newsletter
服从；顺从,obey
挡道的；妨碍人的,in the way
完成；实现,achieve
赛跑，比赛；与……比赛,race
现实的；注重实际的,realistic
重要；重要性,importance
担心；关心,care about
成功；达到；完成,succeed
要点；论点,point
百万,million
医学的；医疗的,medical
研究；调查,research
领带,tie
烦恼；忧虑,worry
如果……将怎么样,what if
小脓包；丘疹,pimple
有活力的；精力充沛的,energetic
允许；许可；准确,permission
她自己；她本身（反身代词）,herself
使恼怒；打扰,bother
一点也不；根本不,not……in the slightest
使生气；使烦恼,annoy
相当地；还算,fairly
充足；大量,plenty
很多的；足够的,plenty of
与……相处,get along with
（有共同兴趣，职业的人形成的）圈子；阶层,circle
听者；收听者,listener
知识渊博的；有见识的,knowledgeable
代表；表示,represent
使……失望或沮丧,let…… down
提出；相处（主意，回答等）,come up with
剩余部分；其余,rest
帮助；救助；援助；救护,aid
急救,first-aid
附近的；近处的,nearby
架子；（书橱，柜子等的）搁板,shelf
出版；发表,come out
覆盖；遮掩,cover
按；压；挤,press
深的,deep
顺楼梯而下；在楼下,downstairs
对的；正确的；准确的,correct
烧伤；烧坏,burn
膝；膝盖,knee
疼；疼痛,pain
（身体部位）感到疼痛；（使）受伤,hurt
提供,offer
拒绝；回绝,refuse
有帮助的；有用的,helpful
对待,treat
火；热或酸所造成的伤害或伤痕,burn
属于,belong
属于（词组）,belong to
作家；作者,author
（自带食物的）郊外野餐,picnic
发带,hair band
可能地；也许,possibly
落下；掉下,drop
交响乐；交响曲,symphony
验光师；配镜师,optometrist
约会；约定,appointment
关键的；至关重要的,crucial
形成；组成；构成,make up
最后的；最终的,final
担忧的；担心的；不安的,anxious
烦恼的；忧郁的,worried
所有者；物主,owner
牛津大学,Oxford
追逐；追赶,chase
天空；天,sky
直升机,helicopter
生物；动物,creature
赶上（车船等）；捕获,catch
不开心的；不愉快的,unhappy
极其；非常,extremely
面试；采访；会见,interview
噪音；喧闹声；嘈杂声,noise
风,wind
邻居,neighbor
脚步声；足迹,footstep
垃圾；废料,garbage
神秘的事物；谜,mystery
主管；主任,director
猴子,monkey
逃跑；逃走,escape
吠声；叫声,bark
气味,smell
手指,finger
举起；抬起；提升,lift
石头；石块,stone
蚂蚁,ant
海洋,ocean
不诚实的,dishonest
假装,pretend
用光；用完,use up
试图；企图,attempt
网；网状物,net
关掉,turn off
北极熊,polar
越南,Vietnam
更喜欢；更喜爱,prefer
歌词；抒情词句,lyric
轻柔的；柔和的,gentle
不喜欢,dislike
提醒；使记起,remind
心；内心,heart
细绳；线,string
下沉；沉没,sink
黄河,Yellow River
渔民；渔夫,fisherman
最近的,latest
娱乐；乐趣；快乐,entertainment
特点；特征,feature
摄影；摄像,photography
美术馆；画廊,gallery
摄影者；摄影师,photographer
展览；陈列,display
展览；陈列,on display
照片；相片,photograph
引起……关注；使……感兴趣,interest
等级；类别,class
不管什么；无论什么；任何（事物）,whatever
错过；遗漏,miss
显示；间接表明；暗示,suggest
活力；力量,energy
好的,Okay
赞成的观点,pro
反对的观点,con
诚实的；真诚地,honest
课程,course
适合；使感到满意,suit
（口）和某人的意；对某人的胃口,suit sb.
期待；预料,expect
甜的,sweet
品尝；尝起来,taste
老实说；说实在的,to be honest
对……有害,be bad for
实际上；说实在的,actually
油煎；油炸,fry
主要地；首要地,mainly
与……保持距离,stay away from
意见一致,be in agreement
它自己；它本身,itself
实验室,laboratory
种类；类型,type
癌症,cancer
户外烤肉餐；烤肉,barbecue
增加；增大,increase
风险；危险,risk
饼干,biscuit
主要的；首要地,main
感叹号,exclamation
味道好的；味美可口的,tasty
素食主义者,Vegetarian
使……震惊,shock
引起疲劳的；累人的,tiring
教育的；有教育意义的,educational
平静的；宁静的；和平的,peaceful
迷人的；有极大吸引力的,fascinating
令人激动的；令人震撼的,thrilling
从容；轻松；不紧张,take it easy
佛罗里达州,Florida
旅行；长途跋涉,trek
亚马逊运河,Amazon
热带丛林,jungle
瀑布,fall
尼加拉大瀑布,Niagara Falls
游客很多的；游客常去的；,touristy
公众注意的中心,spotlight
考虑；思考；认为,consider
充满活力的；生气勃勃的；活泼的,lively
名胜；风景,sight
包含；包括,including
塔；塔楼,tower
埃菲尔铁塔,Eiffel Tower
总教堂；主教堂；大教堂,cathedral
巴黎圣母院,Notre Dame Cathedral
教堂,church
便利的；方便的,convenient
底下的,underground
一般事务；一般原则,general
通常；大体上；一般而言,in general
葡萄酒；酒,wine
翻译,translate
把……打包；把……装箱,pack
轻的,light
顶尖旅行,Ace Travel
东部的；来自东部的,eastern
提供；供应；供给,provide
公司,firm
地点；场所,spot
孔子,Coufucius
航行；在……上航行,sail
太平洋,Pacific
发现；发现物；调查的结果,finding
数以千计的；许许多多的,thousands of
尽快地,as soon as possible
继续；继续下去,continue
编程,programming
翻译员,translator
报道；报告,report
乐意的；自愿的；心甘情愿的,willing
乐意（做某事）,be willing to
相当多；不少,quite a few
做梦；梦到；梦想；幻想,dream
梦想；幻想；向往,dream of
爱好运动的人；运动员,sportspeople
结论,conclusion
继续；坚持；保持,hold on to
态度,attitude
（把……）打扫干净；（把……）收拾整齐,clean up
饿；饥饿,hunger
无家可归的,homeless
使振奋；使高兴起来,cheer
分发；发放,give out
打扫；清洁,clean-up
招牌；标牌,sign
广告；广告活动,advertisement
推迟；拖延,put off
摆放；放置,set
建立；创立；开办,set up
建立；建造；设立,establish
想出,think up
主要地；重大的,major
奉献；忠诚；辛劳,commitment
基础的；初级的；小学的,elementary
兽医,veterinarian
训练；指导,coach
（在外貌，性格等方面）与（父母等）相像,take after
修理,fix
修理；修补,fix up
修理；修补,repair
相似的；相仿的,similar
张贴；搭建,put up
要；要求；请求,ask for
分发；发放,hand out
听众来电直播节目,call-in
方法，策略,strategy
产生结果；发展；成功,work out
站点,website
肢体有残疾的,disabled
组织；机构；系统,organization
装满；填满,fill
愉快；快乐；高兴,pleasure
盲的,blind
聋的,deaf
不能的；不会的,unable
cannot,can't
相像,imagine
关上（门，盖，窗户等）,shut
搬运；携带,carry
帮助（某人）解决困难,help （sb） out
特意地；专门地,specially
(去）拿来；请来,fetch
立刻；马上,at once
支持；帮助,support
感激,appreciate
捐赠物；捐款,donation
词性；词类,part of speech
代词,pronoun
副词,adverb
介词,preposition
连词,conjunction
捐赠；赠送,donate
发明；创造,invent
计算器,calculator
用来做,be used for
用勺舀；勺子；球型勺；长柄勺,spoon
可调整的,adjustable
后跟,heel
电池,battery
操作；作业,operate
电池供电的,battery-operated
拖鞋,slipper
加热；使变热,heat
电灯泡；电灯,bulb
电灯泡,light bulb
微波,microwave
微波炉,microwave oven
脆的；易碎的,crispy
咸的；含盐的,salty
酸的；酸味的,sour
错误地,by mistake
厨师,chef
撒（粉末状物）；洒（液体）,sprinkle
偶然地；意外地,by accident
饮料,beverage
根据；按照；据……所说；视……而定,according
古代的；古老的,ancient
传说；传奇故事,legend
神农,Shen Nong
灌木；灌木丛,bush
落入；陷入,fall into
留下；被遗留；剩余；保持不变,remain
注意到；观察到,notice
生产；制造；产生,produce
合意的，令人愉快的；讨人喜欢的,pleasant
混合；混合物；混合剂,mixture
这样,in this way
馅饼,pie
飞碟；飞盘,flying
面包店,bakery
布里奇波特,Bridgeport
康涅狄格州,Connecticut
扔；掷,throw
味道；风味,taste
柠檬,lemon
小甜饼干；曲奇饼,cookie
算盘,abacus
双筒望远镜,binoculars
世纪；百年,century
顺序；级别,rank
活动的；活波的；积极的,active
在户内,indoors
创造；创作；创建,create
木制的,wooden
敲；击；碰撞,knock
与……相撞,knock into
分开；划分,divide
目标；目的,aim
篮；框,basket
金属,metal
环；圈；蓝圈,hoop
投篮；射击,shoot
在……的下面,below
篮板；背板,backboard
指导；带领,guide
向着；朝着,towards
球场,court
柏林,Berlin
发展；成长；发达,develop
普及；流行,popularity
上升；达到较高的水平等,rise
rise的过去分词,risen
世界范围的；世界性的,worldwide
协会,association
装备；器材,equipment
倒……时候；到……之前,by the time
get的过去分词,gotton
睡过头；睡得过久,oversleep
发出响声,go off
冲；奔,rush
跑掉；迅速离开,run off
准时,on time
锁；锁上,lock
亲戚；亲属,relative
break的过去式,broke
愚弄；欺骗；愚人；白痴,fool
成套服装；戏服,costume
尴尬的；为难的,embarrassed
空的；排空；倒出,empty
出席；露面,show up
极其疲惫的；精疲力竭的,exhausted
愚人节,April Fool's Day
宣布；宣告,announce
火星,Mars
令人信服的,convincing
恐慌；惊恐,panic
激起；引起,set off
权威机构；行政管理机构,authority
揭示；揭露,reveal
骗局；恶作剧；玩笑,hoax
逃；逃走,flee
flee的过去式及过去分词,fled
意大利式细面条,spaghetti
农夫；农场主,farmer
卖完；卖光,sell out
女朋友,girlfriend
嫁；娶；与……结婚,marry
非常激动；非常紧张,thrill
结婚,get married
结局；结尾,ending
令人尴尬的；令人为难的,embarrassing
一块；一片,a piece of
万圣节前夕,Halloween
荷兰,Holland
珠穆朗玛峰,Qomolangma
公共厕所；休息室,restroom
洗发剂；香波,shampoo
杂货店；药店,drugstore
咖啡馆；小餐馆,café
部；局；部门,department
百货公司；百货商店,department store
电动扶梯,escalator
魔术；魔力；魔术的，有魔法的,magic
新鲜的；清新的,fresh
街区；街段,block
橡树；橡木,oak
不拥挤的；宽敞的,uncrowded
滑道，滑槽，滑动装置,slide
水滑道,water slide
小丑；丑角,clown
职员；工作人员；全体职员,staff
有组织的；安排有序的,organized
穿上盛装；装扮,dress up
市场；集市广场,market
借给；借出,lend
停车,park
合适的；可以的,alright
直接的；直率的；直截了当的,direct
命令；指示,order
觉得奇怪；想知道,wonder
引导；引诱,lead
（使）烦恼；麻烦；打扰,trouble
冒犯；得罪；使生气,offend
某；某些；某个,certain
结构；构造,structure
上交；提交；呈送,hand in
摇动，震动,shake
握手,shake hands
风俗；习惯；习俗,custom
鞠躬；弯腰,bow
吻；亲吻,kiss
卡利（哥伦比亚西部城市）,Cali
哥伦比亚,Colombia
放松的；宽松的；轻松自在的,relaxed
顺便（或偶然）拜访,drop by
洛桑,Lausanne
瑞士,Switzerland
国家；国土,land
毕竟；终究；究竟,after all
对于；关于,towards
问候；向……打招呼,greet
秘鲁,Peru
擦；揩；抹,wipe
餐巾,napkin
发出令人不愉快的声音,make a noise
刺；戳；插,stick
粗鲁的；无礼的,rude
指；指向,point
特地（不怕麻烦地）做某事,go out of one's way to do sth.
使某人感到宾至如归,make sb.feel at home
礼貌；礼仪；规矩,manner
餐桌礼仪,table manner
习惯于,be/get used to
叉；餐叉,fork
吃饱的；过饱的,full
（人坐着时）腰以下到膝为止的部分；大腿,lap
肘；肘部,elbow
逐渐地；渐渐地,gradually
特殊的；独特的,particular
称赞；恭维,compliment
敬酒；祝酒,toast
不熟悉的；陌生的,unfamiliar
匙；调羹,spoon
刀；餐刀,knife
挤满；充满,crowd
垃圾；废物,rubbish
寻找；探究,seek
聊天热线,chatline
联机的；在线的,online
（用打字机或计算机）打字,type
多半；主要地；通常,mostly
缩略词；缩写形式,abbreviation
构成；组成,form
短语；词组,phrase
同音异形异义词,homophone
结合；组合,combine
象征；标志；符号,symbol
标点符号,punctuation
记号；符号,mark
情感；感情,emotion
由字符组成的图释,emoticon
冒号,colon
括号,bracket
在……旁边,beside
电子邮件；发电子邮件,e-mail
谜语,riddle
自学,learn……by oneself
试验；实验,experiment
合适的；适宜的；恰当的,proper
高兴的；满意的,pleased
（排队等候的）一队人；排队,queue
通常；正常地,normally
谁的（疑问代词）,whose
泻湖；环礁湖,lagoon
科学的,scientific
因此；所以,therefore
粉红色的,pink
光线；照明,lighting
坚硬的；坚固的,hard
（为……）服务；招待；端上（饭菜等）,serve
公平的；公道的,fair
运动,campaign
有绝种危险的；濒临灭绝的,endangered
标语；口号,slogan
神秘的；不可思议的,mysterious
有光泽的；发亮的,shiny
皮；皮肤,skin
产品,product
远景；前景,lookout
美；美貌,beauty
牙膏,toothpaste
星团；幻觉,stardust
广告；广告活动；广告业,advertising
赞成与反对；正面及反面,pros and cons
瞄准；对准,aim
瞄准；针对；致力于；旨在,aim at
特定地；特殊地；明确地,specifically
例子；实例,instance
例如；比如,for instance
列举；列出；列表,list
令人困惑的；含糊不清的,confusing
令人误解的；骗人的,misleading
事实；真相,truth
有时；偶尔,at times
首先,to start with
紧张的；焦虑的,tense
自制的；家里做的,home-made
书包,schoolbag
紫色的,purple
钱包；女用小包,purse
内疚的；有罪的,guilty
品味；审美力；鉴赏力,taste
格言；谚语；警句,saying
想法；思想；考虑；关心,thought
有价值；重要,count
游泳；洗澡,bathing
（一套）衣服,suit
游泳衣；泳装,bathing suit
毛巾；手巾,towel
浇灌；浇水,water
手册；指南,guidebook
清除；把……清理干净,clean out
冰箱,refrigerator
汽车库；汽车间,garage
（旅行用）小提箱；衣箱,suitcase
（口语）过一会在与某人通话,get back to sb.
砍；劈；剁,chop
木头；木材,wood
点燃；点着,light
井；水井,well
农场；农庄,farm
不管怎样；不论用何种方式,anyway
奖赏；奖金；奖品,award
波浪；博涛,wave
舞台,scene
成功且轰动一时的事物（如歌曲等）；碰撞,hit
出现；露面；（公开）演出,appear
（戏剧。电影中的）主角,lead
主唱者,lead singer
来日；将来某一日；有朝一日,some day
离开；走开,be off
试；韵文,poem
食厨；碗橱；衣橱,cupboard
（依此轮流到每个人的）一次机会,turn
邮件；邮包；邮政,mail
祖先；祖宗,ancestor
根；根源,root
海外的；国外的,oversea
祖国；故乡,homeland
政府,government
到目前为止,so far
南方的；在南方的,southern
村民；乡村居民,villager
幸亏；由于；因为,thanks to
坚定的；坚决的,strongly
目的；意图,purpose
步；脚步；步骤,step
期盼；期望,look forward
海牛,manatee
皮毛的；似皮毛的；长有皮毛的,furry
巨大的；庞大的,enormous
顽皮的；爱玩耍的,playful
侵犯的；挑衅的,aggressive
灰色（的）；偏灰色（的）,gray
有斑点的；有点子的,spotted
袋鼠,kangaroo
黑猩猩,chimpanzee
猎豹,cheetah
红树（一种热带树木，生于水中或水边）,mangrove
沼泽；沼泽地,swamp
生长环境；栖息地,habitat
水生的；水栖的；水生植物；水生动物,aquatic
动物的食物；饲料,feed
在水下的；在水中的,underwater
（总称）植物；草木,vegetation
称；称……重量,weigh
磅,pound
被污染的,polluted
现在进行时,pressent progressive
一般现在时,present simple
动词原形；不定式,infinitive
被动语态,passive
现在完成时,present perfect
合适的；适宜的,suitable
极小的；微小的,tiny
笼子,cage
厌恶的；憎恶的,disgusted
教育；培养,educate
关心；关怀；照顾,care for
强烈要求；竭力主张,urge
词语；表达方式；表达,expression
再循环；回收利用,recycle
build的过去式和过去分词,built
原料；材料,stuff
拉；拖；拔,pull
粘贴；粘合；胶水,glue
顶；屋顶；房顶,roof
丢弃；抛弃,discard
瓦片；瓷砖,title
栅栏；围墙,fence
容器,can
最近,recently
行星,planet
社团；社会,society
总统；总裁；会长,president
灵感；,inspiration
多余的；空闲的,spare
模型,model
材料；物质；原料,material
商业；生意,business
塑料（制）的；塑料,plastic
确实地；,certainly
自豪的；骄傲的,proud
旗；旗帜,flag
国旗,national flag
